Subject,Year,Credit,Mid_Exam_Score,Quiz_Avg_Score,Project_Score,Missed_Deadlines,Engagement,Study_Hours_Per_Day,Stick_To_Schedule,Use_Additional_Resources,Estimated_Final_Score
OOP,1,3.0,85.0,84.5,65.0,1,2,1.5,1,1,78.85
C programming,1,4.0,50.0,74.5,70.0,0,2,1.0,0,1,63.35
C,2,4.0,45.0,54.5,67.0,0,1,3.0,1,1,54.44999999999999
Electronic,1,3.0,32.0,84.5,65.0,1,3,1.5,1,1,57.65
dbms,1,4.0,25.0,84.5,65.0,1,3,1.5,1,1,54.85
OOP,1,3.0,67.0,84.5,54.0,0,3,1.0,1,1,68.35
C programming,1,4.0,45.0,74.5,83.0,0,1,3.0,0,1,65.25
DBMS,1,4.0,93.0,84.5,88.0,0,2,3.0,0,1,88.94999999999999
SE,2,4.0,55.0,64.5,70.0,0,2,3.0,1,1,62.35
OR,3,2.0,76.0,74.5,70.0,1,0,3.0,1,1,73.75
Ethics,3,2.0,70.0,74.5,58.0,1,1,1.5,1,1,67.75
Mobile,4,3.0,34.0,54.5,56.0,0,0,1.5,1,0,46.75
Mobile,3,2.0,78.0,74.5,76.0,0,2,1.5,1,1,76.35
AI,3,2.0,80.0,84.5,87.0,0,1,1.5,1,1,83.44999999999999
AI,3,2.0,54.0,74.5,57.0,0,0,1.5,1,1,61.05
AI,3,2.0,80.0,74.5,53.0,0,2,1.5,0,1,70.25
OR,3,2.0,46.0,64.5,56.0,0,1,1.5,1,1,54.55
OR,3,2.0,35.0,64.5,78.0,0,2,3.0,1,1,56.74999999999999
Mobile,3,2.0,5.0,45.0,12.0,1,0,1.0,0,0,19.1
AI,3,2.0,69.0,84.5,78.0,0,3,3.0,1,1,76.35
AI,3,2.0,79.0,74.5,57.0,0,2,3.0,1,1,71.05
Mobile,3,2.0,33.0,54.5,45.0,0,1,1.5,0,1,43.05
OR,3,2.0,89.0,84.5,78.0,0,3,3.0,1,1,84.35
Mobile,4,2.0,90.0,54.5,75.26717557251908,0,0,3.0,0,1,68.98319672131149
E-learniing,4,2.0,85.0,54.5,56.0,0,3,1.0,1,1,67.14999999999999
cluster computing,4,3.0,100.0,74.5,96.0,0,0,1.0,0,0,91.15
geogrphic information system,4,2.0,20.0,74.5,96.0,0,1,3.0,0,1,59.14999999999999
Computational Biology,4,3.0,85.0,74.5,96.0,1,1,3.0,1,1,85.14999999999999
Computational Biology,4,3.0,58.0,64.5,58.0,1,0,3.0,1,1,59.95
elearning,4,2.0,85.0,64.5,96.0,1,2,3.0,1,1,82.14999999999999
Computational Biology,4,3.0,89.0,54.5,89.0,0,0,3.0,1,1,78.65
Geographic Information System,4,2.0,64.95275590551181,54.5,52.0,1,0,3.0,1,1,68.98319672131149
Computational Biology,4,3.0,56.0,45.0,98.0,1,0,1.0,1,1,65.30000000000001
OOP,1,3.0,52.0,74.5,89.0,1,0,1.5,1,1,69.85
WEB,2,2.0,89.0,64.5,89.0,0,0,3.0,1,0,81.65
geographic Information System,4,2.0,89.0,54.5,45.0,1,0,3.0,1,1,65.45
Computational Biology,4,3.0,89.0,84.5,89.0,1,0,1.0,0,0,87.65
geographic Information System,4,2.0,58.0,54.5,85.0,1,2,1.5,1,1,65.05
Computational Biology,4,3.0,96.0,64.5,69.0,0,0,3.0,1,0,78.45
elearning,4,2.0,89.0,74.5,98.0,1,0,1.5,1,0,87.35
C,1,4.0,96.0,45.0,98.0,0,0,3.0,1,1,81.30000000000001
IP,2,4.0,98.0,45.0,96.0,0,0,1.0,1,1,81.5
Ethics,3,2.0,65.0,74.5,98.0,0,1,3.0,0,1,77.75
se,2,4.0,58.0,54.5,98.0,0,0,3.0,0,0,68.94999999999999
c,1,4.0,58.0,54.5,89.0,0,0,1.0,1,0,66.25
web,2,2.0,55.0,74.5,89.0,0,1,1.5,0,0,71.05
c,1,4.0,52.0,64.5,96.0,0,1,3.0,0,0,68.94999999999999
internet programming,2,2.0,64.95275590551181,74.5,56.0,0,0,1.5,0,1,68.98319672131149
SE,2,4.0,64.95275590551181,74.5,75.0,1,3,3.0,0,1,68.98319672131149
c,1,4.0,80.0,84.5,78.0,0,3,1.0,1,1,80.75
AI,3,2.0,64.95275590551181,64.5,78.0,1,3,3.0,0,0,68.98319672131149
web technologies,2,2.0,80.0,84.5,80.0,1,3,1.5,0,1,81.35
AI,3,2.0,64.95275590551181,84.5,90.0,1,3,1.5,0,0,68.98319672131149
mobile application development,3,2.0,80.0,84.5,80.0,1,3,1.5,0,1,81.35
c,1,4.0,78.0,74.5,67.0,0,3,3.0,1,1,73.64999999999999
image processing,2,4.0,78.0,74.5,78.0,0,3,1.0,0,1,76.94999999999999
OOP,1,3.0,56.0,64.5,96.0,0,2,1.5,1,0,70.55
WEB,2,2.0,56.0,54.5,89.0,0,1,1.5,1,1,65.45
Ethics,3,3.0,12.0,95.0,56.0,0,3,1.5,1,1,50.1
Geographics,4,2.0,25.0,54.5,89.0,0,0,3.0,1,1,53.05
Ecoomerce,4,2.0,52.0,74.5,63.0,1,1,1.5,0,1,62.05
c,1,4.0,12.0,64.5,56.0,0,2,1.5,0,1,40.95
IP,2,4.0,52.0,54.5,89.0,0,1,3.0,1,1,63.85
AI,3,2.0,52.0,54.5,89.0,0,0,1.5,1,0,63.85
AI,3,2.0,12.0,64.5,96.0,0,0,1.0,1,0,52.95
E learning,4,2.0,85.0,74.5,96.0,0,0,3.0,0,1,85.14999999999999
Elearning,2,2.0,75.0,64.5,85.0,0,1,1.0,0,1,74.85
web,2,3.0,85.0,84.5,89.0,1,0,3.0,1,0,86.05
IP,2,4.0,96.0,84.5,85.0,0,2,1.5,1,0,89.25
E learnig,4,2.0,56.0,64.5,85.0,0,2,1.0,1,0,67.25
E learning,4,2.0,85.0,74.5,89.0,1,1,3.0,1,1,83.05
E learning,4,4.0,52.0,64.5,85.0,1,0,1.0,0,0,65.65
IP,2,4.0,70.0,74.5,75.0,1,2,1.5,0,1,72.85
C,1,4.0,85.0,95.0,89.0,0,1,1.5,1,0,89.2
IP,2,4.0,60.0,64.5,67.0,1,2,1.5,1,1,63.44999999999999
SE,2,4.0,85.0,54.5,96.0,1,1,1.5,0,0,79.14999999999999
OOP,1,3.0,85.0,84.5,89.0,1,0,1.5,1,0,86.05
IP,2,4.0,75.0,74.5,65.0,1,2,3.0,1,1,71.85
Ethics,3,3.0,56.0,64.5,89.0,0,0,1.0,0,0,68.45
WEB,2,2.0,52.0,54.5,89.0,1,0,3.0,1,0,63.85
Digital,1,3.0,23.0,54.5,89.0,0,0,3.0,0,0,52.25
IP,2,4.0,50.0,54.5,60.0,1,2,3.0,1,1,54.35
E commerce,4,2.0,56.0,54.5,89.0,0,1,3.0,0,0,65.45
IP,2,4.0,55.0,54.5,63.0,1,2,1.0,1,1,57.24999999999999
Web,2,2.0,78.0,64.5,96.0,0,1,3.0,0,0,79.35
E learning,4,2.0,78.0,54.5,96.0,0,0,1.5,1,1,76.35
IP,2,4.0,88.0,84.5,78.0,1,2,3.0,1,1,83.94999999999999
Geographic,4,2.0,12.0,64.5,63.0,0,0,1.0,0,0,43.05
IP,2,4.0,76.0,74.5,67.0,1,2,3.0,1,1,72.85
E learning,4,2.0,52.0,64.5,89.0,0,1,3.0,1,0,66.85
Grographics,4,2.0,45.0,64.5,85.0,0,2,1.5,0,0,62.85
IP,2,4.0,86.0,74.5,75.0,1,2,3.0,1,1,79.25
E leraning,4,2.0,52.0,84.5,89.0,1,2,1.5,1,0,72.85
Web,2,2.0,85.0,64.5,96.0,1,0,1.0,0,0,82.14999999999999
IP,2,4.0,50.0,54.5,54.0,0,2,1.5,0,1,52.55
oop,3,2.0,85.0,84.5,75.26717557251908,0,1,1.5,1,0,68.98319672131149
c,1,4.0,85.0,74.5,96.0,0,0,1.0,1,1,85.14999999999999
c,1,4.0,50.0,64.5,65.0,0,1,1.5,0,1,58.85
MIS,2,2.0,64.95275590551181,95.0,60.0,0,2,1.5,0,1,68.98319672131149
algorithm,2,3.0,80.0,84.5,80.0,1,3,3.0,0,0,81.35
networking,2,3.0,64.95275590551181,84.5,60.0,0,3,1.5,0,0,68.98319672131149
ip,2,4.0,60.0,74.5,70.0,1,3,3.0,0,1,67.35
ip,2,4.0,90.0,95.0,80.0,1,3,1.5,0,0,88.5
elecetronics,2,3.0,64.95275590551181,84.5,75.26717557251908,1,3,1.5,0,1,68.98319672131149
fundementals,1,2.0,78.0,84.5,75.26717557251908,0,3,1.0,0,0,68.98319672131149
c,1,4.0,78.0,74.5,80.0,1,3,3.0,0,1,77.55
mobile application,3,2.0,27.0,54.5,67.0,0,3,3.0,0,1,47.25
IS,3,3.0,80.0,64.5,75.26717557251908,1,3,3.0,0,1,68.98319672131149
is,3,3.0,78.0,74.5,75.26717557251908,1,3,3.0,0,1,68.98319672131149
AI,3,2.0,64.95275590551181,84.5,89.0,1,3,3.0,0,1,68.98319672131149
C programming,1,4.0,55.0,74.5,68.0,0,2,1.0,0,1,64.75
Operating system,1,3.0,79.0,84.5,82.0,1,2,1.5,0,1,81.55
C programming,1,4.0,75.0,74.5,70.0,0,0,3.0,1,1,73.35
Computer system,1,2.0,78.0,74.5,74.0,0,0,3.0,1,1,75.75
Operating system,1,3.0,78.0,74.5,77.0,0,0,3.0,1,1,76.64999999999999
Data structures,1,3.0,74.0,74.5,74.0,0,0,3.0,1,1,74.15
Statistics,1,4.0,73.0,74.5,71.0,0,0,3.0,1,1,72.85
Electronic,1,3.0,78.0,74.5,74.0,0,0,3.0,1,1,75.75
Dbms,1,4.0,78.0,74.5,78.0,0,0,3.0,1,1,76.94999999999999
Dbms,1,4.0,75.0,74.5,79.0,0,0,3.0,1,1,76.05
Principles of Programme Design and Programming,1,4.0,40.0,45.0,35.0,0,0,1.0,0,0,40.0
Operational Research,3,2.0,80.0,74.5,88.0,1,3,1.0,1,1,80.75
Graphics and Image Processing,2,4.0,40.0,45.0,45.0,0,1,1.5,0,0,43.0
Software Engineering,2,4.0,85.0,84.5,88.0,1,3,1.0,1,1,85.75
Database Systems,1,4.0,78.0,74.5,75.0,0,2,3.0,1,1,76.05
Philosophy of Science,1,2.0,98.0,95.0,95.0,1,3,1.0,1,1,96.2
Mathematics and Statistics for Computing,1,4.0,25.0,45.0,33.0,0,1,1.0,0,0,33.4
Computer Networks,2,3.0,42.0,45.0,50.0,0,2,1.5,1,1,45.3
Operating Systems,1,2.0,15.0,45.0,19.0,0,0,1.0,0,0,25.2
Basic Electronics,1,3.0,60.0,64.5,50.0,0,2,1.5,0,0,58.35
OOP,1,4.0,70.0,74.5,89.0,0,2,1.5,0,1,77.05
DBMS,1,4.0,53.0,54.5,45.0,0,1,1.5,0,1,51.05
Image processing,2,4.0,39.0,45.0,33.0,1,1,1.0,0,1,39.0
OOP,1,4.0,90.0,95.0,76.0,1,3,1.0,1,1,87.3
Software Engineering,2,4.0,76.0,64.5,87.0,0,2,3.0,0,0,75.85
Operating Systems,1,2.0,74.0,64.5,54.0,0,1,3.0,0,0,65.15
Basic Electronics,1,3.0,64.95275590551181,84.5,84.0,0,3,3.0,0,1,68.98319672131149
